Model,MSO64B
Channel,CH1,,Channel,CH2,,Channel,REF1,,Channel,REF2
Label,,,Label,,,Label,CH1,,Label,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,349.10156250,,Zero Index,349.10156250,,Zero Index,349.11328125,,Zero Index,349.11328125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000,,yPosition,2.160000,,yPosition,2.180000

Labels,,,,Labels,CH1,,Labels,CH2
TIME,CH1,CH2,,TIME,REF1,,TIME,REF2
-2.12081250e-07,1.03125000e-03,1.41406250e-02,,-2.12090625e-07,6.78124977e-03,,-2.12090625e-07,5.70312515e-03
-2.11281250e-07,5.31250000e-03,1.11718750e-02,,-2.11290625e-07,3.81250004e-03,,-2.11290625e-07,1.08593749e-02
-2.10481250e-07,3.84375000e-03,1.00000000e-02,,-2.10490625e-07,4.68750019e-03,,-2.10490625e-07,1.00781247e-02
-2.09681250e-07,8.40625000e-03,7.34375000e-03,,-2.09690625e-07,2.87500001e-03,,-2.09690625e-07,9.45312530e-03
-2.08881250e-07,5.59375000e-03,1.08593750e-02,,-2.08890625e-07,4.21875017e-03,,-2.08890625e-07,1.27343750e-02
-2.08081250e-07,7.93750000e-03,1.45312500e-02,,-2.08090625e-07,5.09375008e-03,,-2.08090625e-07,1.39062498e-02
-2.07281250e-07,-1.56250000e-04,9.29687500e-03,,-2.07290625e-07,5.12500014e-03,,-2.07290625e-07,5.85937500e-03
-2.06481250e-07,3.28125000e-03,1.58593750e-02,,-2.06490625e-07,3.21875000e-03,,-2.06490625e-07,2.18750001e-03
-2.05681250e-07,6.65625000e-03,1.87500000e-03,,-2.05690625e-07,4.78124991e-03,,-2.05690625e-07,1.01562496e-02
-2.04881250e-07,1.08750000e-02,9.60937500e-03,,-2.04890625e-07,9.81250033e-03,,-2.04890625e-07,3.35937506e-03
-2.04081250e-07,1.31250000e-03,9.29687500e-03,,-2.04090625e-07,9.59375035e-03,,-2.04090625e-07,5.70312515e-03
-2.03281250e-07,4.34375000e-03,5.46875000e-03,,-2.03290625e-07,2.56250007e-03,,-2.03290625e-07,8.82812496e-03
-2.02481250e-07,8.00000000e-03,1.15625000e-02,,-2.02490625e-07,8.03124998e-03,,-2.02490625e-07,1.14843752e-02
-2.01681250e-07,2.93750000e-03,1.59375000e-02,,-2.01690625e-07,1.10312495e-02,,-2.01690625e-07,8.04687478e-03
-2.00881250e-07,-1.09375000e-03,1.25781250e-02,,-2.00890625e-07,4.40625008e-03,,-2.00890625e-07,4.21875017e-03
-2.00081250e-07,5.00000000e-03,1.06250000e-02,,-2.00090625e-07,1.21875003e-03,,-2.00090625e-07,1.14843752e-02
-1.99281250e-07,1.37500000e-03,1.32812500e-02,,-1.99290625e-07,6.53125020e-03,,-1.99290625e-07,3.35937506e-03
-1.98481250e-07,2.71875000e-03,1.45312500e-02,,-1.98490625e-07,7.24999979e-03,,-1.98490625e-07,8.35937541e-03
-1.97681250e-07,6.75000000e-03,9.14062500e-03,,-1.97690625e-07,5.90624986e-03,,-1.97690625e-07,8.75000004e-03
-1.96881250e-07,8.15625000e-03,4.68750000e-03,,-1.96890625e-07,2.00000009e-03,,-1.96890625e-07,4.29687509e-03
-1.96081250e-07,3.62500000e-03,1.87500000e-02,,-1.96090625e-07,6.68750005e-03,,-1.96090625e-07,1.96093749e-02
-1.95281250e-07,8.53125000e-03,9.60937500e-03,,-1.95290625e-07,2.21875007e-03,,-1.95290625e-07,1.97656248e-02
-1.94481250e-07,2.90625000e-03,4.84375000e-03,,-1.94490625e-07,8.68749991e-03,,-1.94490625e-07,1.37499999e-02
-1.93681250e-07,7.59375000e-03,1.46093750e-02,,-1.93690625e-07,3.00000003e-03,,-1.93690625e-07,1.25781251e-02
